raw_id,sqn,brand,brand_detected,product_manufacturer,weight,fat,pack,pfqn
141262,семечки премиум подсолн жареные отборные,От Мартина,True,"ООО ""МАРТИН""",200г,,,Семечки От Мартина Премиум подсолн жареные отборные 200г
47100,яблоки сезонные,Не Бренд,,,кг,,,"Яблоки сезонные , кг"
594112,макаронные изделия спагетти,О'КЕЙ,True,"ОАО ""Макаронно-кондитерское производство""",500г,,,Макаронные изделия ОКЕЙ Спагетти 500г
172179,хлеб старорусский тихвинский с семенами подсол,Каравай,True,"ОАО ""Каравай""",350г,,нарезка,Хлеб Старорусский Тихвинский с семенами подсол. нарезка 350г Каравай
140482,масса творожная изюм,Б.Ю. Александров,True,ООО «РостАгроКомплекс»,100г,23%,,Масса творожная Б.Ю. Александров 23% изюм 100г
93074,пюре картоф,Картошечка,True,"ООО "" Си - Продукт"", Россия",250г,,,Пюре картоф. Картошечка 250г
90285,яйцо куриное с1 экстра,Роскар,True,,,,25шт,Яйцо куриное С1 Экстра Роскар 25шт
131813,треска филе б/кожи с/м,STANDARD,True,"ООО ""Агама Роял Гринланд"", Россия",400г,,,"Треска филе б/кожи с/м, 400г Agama"
120037,дрожжи сухие,Dr.Oetker,True,"ЗАО ""Д-р Оеткер""",7г,,,Дрожжи сухие 7г Dr.Oetker
185008,сахар ванильный,Dr.Oetker,True,"ЗАО ""Д-р Оеткер""",8г,,,Сахар ванильный Dr.Oetker 8г
178969,кофе н/ж зерно эспрессо премиум,Safari Coffee,True,"ООО ""Сафари кофе трейдинг""",500г,,,Кофе Safari Coffee н/ж зерно Эспрессо Премиум 500г
361281,соус перечный чипотли,Heinz,True,H. J. Heinz Manufacturing UK Ltd,150г,,,Соус HEINZ Перечный Чипотли 150г
104047,лакедра сол/сушеная,STANDARD,True,"ООО ""Каспий""",100г,,упак.,"Лакедра сол/сушеная, 100г (Каспий) упак."
182278,приправа д/курицы мельница,Kamis,True,McCormick Polska S.A.,53г,,,Приправа Kamis д/курицы 53г мельница
168856,чай зеленый ассорти,MARGO,True,Femrich Lanka Ltd,,,25 пак,"Чай зеленый""MARGO"" Ассорти 25 пак"
34830,печень говяжья зам,Не Бренд,True,"ООО ""Мясной стандарт"", Россия",500г,,в/у,Печень говяжья зам. в/у Дары Артемиды 500г
242659,мороженое ванильное,Не Бренд,True,"ООО ""Лагуна Койл""",1кг,,пакет,Мороженое Юбилейное Ванильное пакет 1кг
560633,нектар персик/ябл,Фруктовый  сад,True,"ООО ""Лебедянский""",0.95л,,т/пак,Нектар Фруктовый Сад персик/ябл 0.95л т/пак
78186,биопродукт творож-йогуртный инжир/курага/чернослив,Активиа,True,"ООО ""Данон Индустрия""",130г,4.2%,,Биопродукт творож-йогуртный Активия 4.2% инжир/курага/чернослив 130г
121880,крупа рис голд обраб паром,Агроальянс,True,Агроальянс,900г,,,Крупа Рис Голд обраб. паром 900г Агро-Альянс
